Feature,Importance
Age,0.38371231549022905
NumOfProducts,0.292268108686283
IsActiveMember,0.09880049782256861
Balance,0.06862584666725098
Geography_Germany,0.05137725557391973
EngagementScore,0.030585544347806488
BalanceSalaryRatio,0.025749518027827184
CreditScore,0.018065670673007933
EstimatedSalary,0.013200025151435795
Gender_Male,0.013067513792299331
Tenure,0.00394466288877251
Geography_Spain,0.00031300739920575067
HasCrCard,0.0001695455218130013
AgeGroup_Senior,0.00012048795758080233
AgeGroup_Young,0.0
